前提文	仮説文	正解ラベル
両斜角筋と両僧帽筋の緊張が亢進していた。	左斜角筋の緊張が亢進していた。	entailment
両斜角筋と両僧帽筋の緊張が亢進していた。	右斜角筋と右僧帽筋のみ緊張が亢進していた。	contradiction
両斜角筋と両僧帽筋の緊張が亢進していた。	右僧帽筋の緊張が亢進していた。	entailment
両斜角筋と両僧帽筋の緊張が亢進していた。	左僧帽筋の緊張が亢進していた。	entailment
両斜角筋と両僧帽筋の緊張が亢進していた。	左斜角筋と左僧帽筋のみ緊張が亢進していた。	contradiction
腰痛出現し他院で椎間板ヘルニアと診断される。	腰痛が出現し、他院で椎間板ヘルニアと診断される。	entailment
腰痛出現し他院で椎間板ヘルニアと診断される。	腰痛が消失し、他院で椎間板ヘルニアと診断される。	contradiction
腰痛出現し他院で椎間板ヘルニアと診断される。	腰痛出現し他院でヘルニアと診断される。	entailment
腰痛出現し他院で椎間板ヘルニアと診断される。	腰痛出現し他院で鼠径ヘルニアと診断される。	neutral
温熱を終了した時は効果が見られたが、徐々に疼痛減少が認められなくなった。	徐々に疼痛が減少した。	contradiction
温熱を終了した時は効果が見られたが、徐々に疼痛減少が認められなくなった。	徐々に疼痛の減少が認められなくなった。	entailment
温熱を終了した時は効果が見られたが、徐々に疼痛減少が認められなくなった。	徐々に疼痛が減少しなくなった。	entailment
温熱を終了した時は効果が見られたが、徐々に疼痛減少が認められなくなった。	徐々に疼痛が増加した。	neutral
理学療法では運動療法による褥瘡予防が主なアプローチである。	理学療法では運動療法により褥瘡を予防することが主なアプローチである。	entailment
理学療法では運動療法による褥瘡予防が主なアプローチである。	理学療法では運動療法による褥瘡の予防が主なアプローチである。	entailment
理学療法では運動療法による褥瘡予防が主なアプローチである。	褥瘡が改善した。	neutral
理学療法では運動療法による褥瘡予防が主なアプローチである。	褥瘡を予防した。	neutral
機能改善手術にて歩行獲得を目指す。	機能を改善した。	neutral
患者は歩行獲得を目指す。	患者は歩行を獲得することを目指す。	entailment
患者は歩行獲得を目指す。	患者は歩行を獲得した。	neutral
患者は歩行獲得を目指す。	患者は歩行した。	neutral
左膝屈曲拘縮除去術を受けた。	左膝屈曲拘縮を除去した。	entailment
左膝屈曲拘縮除去術を受けた。	左膝の屈曲拘縮が改善した。	neutral
左膝屈曲拘縮除去術を受けた。	右膝屈曲拘縮を除去した。	neutral
左膝屈曲拘縮除去術を受けた。	左膝の屈曲拘縮を除去した。	entailment
患者は歩行未獲得であった。	患者は歩行を獲得した。	contradiction
患者は歩行未獲得であった。	患者は歩行を獲得しなかった。	entailment
患者は歩行未獲得であった。	患者は歩行した。	contradiction
患者は歩行未獲得であった。	患者は歩行しなかった。	entailment
姿勢コントロールが困難であった。	姿勢をコントロールすることが困難であった。	entailment
姿勢コントロールが困難であった。	姿勢をコントロールしなかった。	neutral
姿勢コントロールが困難であった。	姿勢をコントロールした。	neutral
頸部痛出現したため、理学療法開始。	頸部痛が出現したため、理学療法開始。	entailment
頸部痛出現したため、理学療法開始。	頸部痛が消失したため、理学療法開始。	neutral
頸部痛出現したため、理学療法開始。	頸部痛出現したため、理学療法を開始した。	entailment
頸部痛出現したため、理学療法開始。	頸部痛出現したため、理学療法を終了した。	neutral
頸部痛出現したため、理学療法開始。	頸部痛が出現しなかった。	neutral
頸部痛出現したため、理学療法開始。	頸部痛出現したため、理学療法を開始しなかった。	neutral
PSP-Cは、小脳性運動失調を呈す。	PSP-Cは、小脳性の運動失調を呈す。	entailment
PSP-Cは、小脳性運動失調を呈す。	PSP-Cは、運動失調を呈す。	entailment
PSP-Cは、小脳性運動失調を呈す。	PSP-Cは、脊椎性の運動失調を呈す。	neutral
PSP-Cは、認知機能低下を併発する。	PSP-Cは、認知機能が低下することを併発する。	entailment
患者が目標設定を行った。	患者が目標を設定した。	entailment
基本動作練習、歩行練習を開始した。	基本動作を練習した。	entailment
基本動作練習、歩行練習を開始した。	動作を練習した。	entailment
基本動作練習、歩行練習を開始した。	動作練習を開始した。	entailment
基本動作練習、歩行練習を開始した。	基本動作を練習することを開始した。	entailment
基本動作練習、歩行練習を開始した。	歩行を練習した。	entailment
基本動作練習、歩行練習を開始した。	基本動作を開始した。	neutral
基本動作練習、歩行練習を開始した。	歩行を練習した。	entailment
基本動作練習、歩行練習を開始した。	歩行することを練習した。	entailment
基本動作練習、歩行練習を開始した。	歩行を練習しなかった。	contradiction
基本動作練習、歩行練習を開始した。	歩行を開始した。	neutral
PT開始から右側股関節伸展であった。	PTを開始した。	entailment
PT開始から右側股関節伸展であった。	PTを終了した。	neutral
PT開始から右側股関節伸展であった。	PTを再開した。	neutral
PT開始から右側股関節伸展であった。	PT開始から左側股関節伸展であった。	neutral
PT開始から右側股関節伸展であった。	PT開始から股関節伸展であった。	entailment
PT開始から右側股関節伸展であった。	股関節が伸展していた。	entailment
PT開始から右側股関節伸展であった。	右側の股関節が伸展していた。	entailment
PT開始から右側股関節伸展であった。	両側の股関節が伸展していた。	neutral
PT開始から右側股関節伸展であった。	左側の股関節が伸展していた。	neutral
PT開始から右側股関節伸展であった。	PT開始から右側に股関節が伸展していた。	neutral
FWは伸展型腰痛症発生に影響している。	FWは伸展型の腰痛症が発生することに影響している。	entailment
FWは伸展型腰痛症発生に影響している。	FWは伸展型腰痛症が発生することに影響している。	entailment
FWは伸展型腰痛症発生に影響している。	FWは腰痛症発生に影響している。	entailment
FWは伸展型腰痛症発生に影響している。	FWは腰痛症が発生することに影響している。	entailment
FWは伸展型腰痛症発生に影響している。	腰痛症が発生した。	neutral
抗生剤投与したが反応なく、チガソン投与を開始した。	抗生剤を投与したが反応なく、チガソン投与を開始した。	entailment
抗生剤投与したが反応なく、チガソン投与を開始した。	抗生剤に投与したが反応なく、チガソン投与を開始した。	neutral
抗生剤投与したが反応なく、チガソン投与を開始した。	抗生剤投与したが反応なく、チガソンを投与した。	entailment
抗生剤投与したが反応なく、チガソン投与を開始した。	チガソンを投与開始した。	entailment
抗生剤投与したが反応なく、チガソン投与を開始した。	チガソンを投与しなかった。	neutral
抗生剤投与したが反応なく、チガソン投与を開始した。	抗生剤を投与終了した。	neutral
四肢に膿疱出現。	四肢に膿疱が出現。	entailment
四肢に膿疱出現。	四肢が膿疱に出現。	neutral
四肢に膿疱出現。	四肢から膿疱が消失。	neutral
アセタゾラミド投与したところ、四肢にびまん性紅斑出現。	アセタゾラミドを投与したところ、四肢にびまん性紅斑出現。	entailment
アセタゾラミド投与したところ、四肢にびまん性紅斑出現。	アセタゾラミドに投与したところ、四肢にびまん性紅斑出現。	neutral
アセタゾラミド投与したところ、四肢にびまん性紅斑出現。	ATZ投与したところ、四肢にびまん性紅斑出現。	entailment
アセタゾラミド投与したところ、四肢にびまん性紅斑出現。	アセタゾラミド投与したところ、四肢に紅斑出現。	entailment
アセタゾラミド投与したところ、四肢にびまん性紅斑出現。	アセタゾラミド投与したところ、四肢に紅斑が出現。	entailment
アセタゾラミド投与したところ、四肢にびまん性紅斑出現。	アセタゾラミド投与したところ、四肢にびまん性紅斑が出現。	entailment
アセタゾラミド投与したところ、四肢にびまん性紅斑出現。	アセタゾラミド投与したところ、四肢にびまん性の紅斑が出現。	entailment
アセタゾラミド投与したところ、四肢にびまん性紅斑出現。	アセタゾラミド投与したところ、四肢に限局性紅斑出現。	neutral
ミノサイクロンに反応し治癒したことから、非定型抗酸菌症を考慮。	ミノサイクロンに反応し治癒したことから、定型抗酸菌症を考慮。	neutral
ミノサイクロンに反応し治癒したことから、非定型抗酸菌症を考慮。	ミノサイクロンに反応し治癒したことから、定型抗酸菌症を考慮しなかった。	neutral
ミノサイクロンに反応し治癒したことから、非定型抗酸菌症を考慮。	ミノサイクロンに反応し治癒したことから、抗酸菌症を考慮。	entailment
ミノサイクロンに反応し治癒したことから、非定型抗酸菌症を考慮。	ミノサイクロンに反応し治癒したことから、抗酸菌症を考慮しなかった。	contradiction
両下腿に多発性紅斑出現。	下腿に多発性紅斑出現。	entailment
両下腿に多発性紅斑出現。	右下腿に多発性紅斑出現。	entailment
両下腿に多発性紅斑出現。	左下腿に多発性紅斑出現。	entailment
両下腿に多発性紅斑出現。	両下腿に多発性紅斑が出現。	entailment
両下腿に多発性紅斑出現。	両下腿に多発性の紅斑が出現。	entailment
両下腿に多発性紅斑出現。	両下腿にびまん性紅斑が出現。	neutral
両下腿に多発性紅斑出現。	両下腿に紅斑が出現。	entailment
生検で非乾酪性肉芽腫を認めた。	生検で乾酪性肉芽腫を認めた。	contradiction
生検で非乾酪性肉芽腫を認めた。	生検で肉芽腫を認めた。	entailment
生検で非乾酪性肉芽腫を認めた。	生検で乾酪性肉芽腫を認めなかった。	neutral
生検で非乾酪性肉芽腫を認めた。	生検で肉芽腫を認めなかった。	contradiction
生検で非乾酪性肉芽腫を認めた。	生検で非乾酪性肉芽腫を認めなかった。	contradiction
急性虫垂炎であり、手術を目的に当科紹介された。	虫垂炎であり、手術を目的に当科紹介された。	entailment
急性虫垂炎であり、手術を目的に当科紹介された。	急性の虫垂炎であり、手術を目的に当科紹介された。	entailment
急性虫垂炎であり、手術を目的に当科紹介された。	慢性虫垂炎であり、手術を目的に当科紹介された。	neutral
急性虫垂炎であり、手術を目的に当科紹介された。	カタル性虫垂炎であり、手術を目的に当科紹介された。	neutral
急性虫垂炎であり、手術を目的に当科紹介された。	急性虫垂炎であり、手術を目的に当科に紹介された。	entailment
急性虫垂炎であり、手術を目的に当科紹介された。	急性虫垂炎であり、手術を目的に当科から紹介された。	contradiction
急性虫垂炎であり、手術を目的に当科紹介された。	急性虫垂炎であり、手術を目的に当科が紹介された。	neutral
急性虫垂炎であり、手術を目的に当科紹介された。	急性虫垂炎であり、手術を目的に当科を紹介された。	neutral
急性虫垂炎に対して抗生剤投与とした。	虫垂炎に対して抗生剤投与とした。	entailment
急性虫垂炎に対して抗生剤投与とした。	急性の虫垂炎に対して抗生剤投与とした。	entailment
急性虫垂炎に対して抗生剤投与とした。	慢性の虫垂炎に対して抗生剤投与とした。	neutral
急性虫垂炎に対して抗生剤投与とした。	急性虫垂炎に対して抗菌薬を投与した。	entailment
急性虫垂炎に対して抗生剤投与とした。	急性虫垂炎に対して抗生剤を投与した。	entailment
虫垂炎を契機に盲腸癌が見つかった。	虫垂炎を契機に癌が見つかった。	entailment
虫垂炎を契機に盲腸癌が見つかった。	虫垂炎を契機に大腸癌が見つかった。	entailment
虫垂炎を契機に盲腸癌が見つかった。	虫垂炎を契機に虫垂癌が見つかった。	neutral
基本動作改善を目的にリハビリ開始となる。	基本動作を改善することを目的にリハビリ開始となる。	entailment
基本動作改善を目的にリハビリ開始となる。	基本の動作を改善することを目的にリハビリ開始となる。	entailment
基本動作改善を目的にリハビリ開始となる。	基本の動作を目的にリハビリ開始となる。	neutral
基本動作改善を目的にリハビリ開始となる。	動作改善を目的にリハビリ開始となる。	entailment
基本動作改善を目的にリハビリ開始となる。	基本動作改善を目的にリハビリを開始する。	entailment
基本動作改善を目的にリハビリ開始となる。	基本動作改善を目的にリハビリを終了する。	neutral
義歯作成し、療養型病院へと転院した。	義歯を作成し、療養型病院へと転院した。	entailment
義歯作成し、療養型病院へと転院した。	義歯から作成し、療養型病院へと転院した。	neutral
義歯作成し、療養型病院へと転院した。	義歯作成し、療養型の病院へと転院した。	entailment
義歯作成し、療養型病院へと転院した。	義歯作成し、大学病院へと転院した。	neutral
プレガバリンは末梢性神経障害性疼痛に対して有効である。	プレガバリンは神経障害性疼痛に対して有効である。	entailment
プレガバリンは末梢性神経障害性疼痛に対して有効である。	プレガバリンは疼痛に対して有効である。	entailment
プレガバリンは末梢性神経障害性疼痛に対して有効である。	プレガバリンは神経障害性の疼痛に対して有効である。	entailment
プレガバリンは末梢性神経障害性疼痛に対して有効である。	プレガバリンは末梢性の神経障害性疼痛に対して有効である。	entailment
プレガバリンは末梢性神経障害性疼痛に対して有効である。	プレガバリンは侵害受容性疼痛に対して有効である。	neutral
プレガバリンは末梢性神経障害性疼痛に対して有効である。	プレガバリンは心因性疼痛に対して有効である。	neutral
転移性肝腫瘍は縮小傾向を認めた。	肝腫瘍は縮小傾向を認めた。	entailment
転移性肝腫瘍は縮小傾向を認めた。	転移性の肝腫瘍は縮小傾向を認めた。	entailment
転移性肝腫瘍は縮小傾向を認めた。	転移性腎腫瘍は縮小傾向を認めた。	neutral
転移性肝腫瘍は縮小傾向を認めた。	転移性肺腫瘍は縮小傾向を認めた。	neutral
転移性肝腫瘍は縮小傾向を認めた。	転移性肝腫瘍は縮小する傾向を認めた。	entailment
転移性肝腫瘍は縮小傾向を認めた。	転移性肝腫瘍は縮小した。	neutral
転移性肝腫瘍は縮小傾向を認めた。	転移性肝腫瘍は増大した。	contradiction
蜂窩織炎性急性虫垂炎を併発した好酸球性大腸炎と診断された。	急性虫垂炎を併発した好酸球性大腸炎と診断された。	entailment
蜂窩織炎性急性虫垂炎を併発した好酸球性大腸炎と診断された。	蜂窩織炎性虫垂炎を併発した好酸球性大腸炎と診断された。	entailment
蜂窩織炎性急性虫垂炎を併発した好酸球性大腸炎と診断された。	蜂窩織炎性の急性虫垂炎を併発した好酸球性大腸炎と診断された。	entailment
蜂窩織炎性急性虫垂炎を併発した好酸球性大腸炎と診断された。	蜂窩織炎性の虫垂炎を併発した好酸球性大腸炎と診断された。	entailment
蜂窩織炎性急性虫垂炎を併発した好酸球性大腸炎と診断された。	急性の虫垂炎を併発した好酸球性大腸炎と診断された。	entailment
蜂窩織炎性急性虫垂炎を併発した好酸球性大腸炎と診断された。	壊疽性虫垂炎を併発した好酸球性大腸炎と診断された。	neutral
蜂窩織炎性急性虫垂炎を併発した好酸球性大腸炎と診断された。	カタル性虫垂炎を併発した好酸球性大腸炎と診断された。	neutral
蜂窩織炎性急性虫垂炎を併発した好酸球性大腸炎と診断された。	蜂窩織炎性急性虫垂炎を併発した好酸球性胃腸炎と診断された。	neutral
蜂窩織炎性急性虫垂炎を併発した好酸球性大腸炎と診断された。	蜂窩織炎性急性虫垂炎を併発した大腸炎と診断された。	entailment
蜂窩織炎性急性虫垂炎を併発した好酸球性大腸炎と診断された。	蜂窩織炎性急性虫垂炎を併発した好酸球性の大腸炎と診断された。	entailment
蜂窩織炎性急性虫垂炎を併発した好酸球性大腸炎と診断された。	蜂窩織炎性急性虫垂炎を併発した潰瘍性大腸炎と診断された。	neutral
盲腸に腫瘤性病変を触知した。	盲腸に腫瘤性の病変を触知した。	entailment
盲腸に腫瘤性病変を触知した。	盲腸に非腫瘤性病変を触知した。	neutral
盲腸に腫瘤性病変を触知した。	盲腸に炎症性病変を触知した。	neutral
盲腸に腫瘤性病変を触知した。	盲腸に潰瘍性病変を触知した。	neutral
盲腸に腫瘤性病変を触知した。	盲腸に病変を触知した。	entailment
患者がアルコール性膵炎発症した。	患者がアルコール性の膵炎を発症した。	entailment
患者がアルコール性膵炎発症した。	患者が膵炎を発症した。	entailment
患者がアルコール性膵炎発症した。	患者が膵炎発症した。	entailment
患者がアルコール性膵炎発症した。	患者がアルコール性膵炎を発症した。	entailment
患者がアルコール性膵炎発症した。	患者がアルコール性肝炎を発症した。	neutral
患者がアルコール性膵炎発症した。	患者が胆石性膵炎を発症した。	neutral
患者がアルコール性膵炎発症した。	患者が急性膵炎発症した。	neutral
患者がアルコール性膵炎発症した。	患者が慢性膵炎を発症した。	neutral
検査でアミラーゼ上昇を認めた。	アミラーゼが上昇した。	entailment
検査でアミラーゼ上昇を認めた。	検査でアミラーゼを上昇した。	neutral
検査でアミラーゼ上昇を認めた。	アミラーゼが低下した。	neutral
卵巣腫瘍切除を行った。	卵巣腫瘍を切除した。	entailment
卵巣腫瘍切除を行った。	腫瘍を切除した。	entailment
卵巣腫瘍切除を行った。	卵巣の腫瘍を切除した。	entailment
卵巣腫瘍切除を行った。	子宮筋腫を切除した。	neutral
卵巣腫瘍切除を行った。	胚細胞腫瘍を切除した。	neutral
炎症反応改善傾向であった。	炎症反応が改善する傾向であった。	entailment
炎症反応改善傾向であった。	炎症反応が改善した。	neutral
炎症反応改善傾向であった。	炎症反応が悪化する傾向であった。	contradiction
診断は急性出血性壊疽性胆嚢炎であった。	診断は胆嚢炎であった。	entailment
診断は急性出血性壊疽性胆嚢炎であった。	診断は壊疽性胆嚢炎であった。	entailment
診断は急性出血性壊疽性胆嚢炎であった。	診断は急性胆嚢炎であった。	entailment
診断は急性出血性壊疽性胆嚢炎であった。	診断は出血性胆嚢炎であった。	entailment
診断は急性出血性壊疽性胆嚢炎であった。	診断は気腫性胆嚢炎であった。	neutral
診断は急性出血性壊疽性胆嚢炎であった。	診断は化膿性胆嚢炎であった。	neutral
当院循環器内科入院。	当院の循環器内科に入院した。	entailment
当院循環器内科入院。	循環器内科に入院した。	entailment
当院循環器内科入院。	他院の循環器内科に入院した。	neutral
当院循環器内科入院。	当院の循環器内科に通院した。	neutral
気腫性胆嚢炎と診断され、消化器内科転科。	気腫性の胆嚢炎と診断され、消化器内科転科。	entailment
気腫性胆嚢炎と診断され、消化器内科転科。	胆嚢炎と診断され、消化器内科転科。	entailment
気腫性胆嚢炎と診断され、消化器内科転科。	急性胆嚢炎と診断され、消化器内科転科。	entailment
気腫性胆嚢炎と診断され、消化器内科転科。	化膿性胆嚢炎と診断され、消化器内科転科。	neutral
気腫性胆嚢炎と診断され、消化器内科転科。	気腫性胆嚢炎と診断され、消化器内科に転科した。	entailment
気腫性胆嚢炎と診断され、消化器内科転科。	気腫性胆嚢炎と診断され、消化器内科に入院した。	neutral
気腫性胆嚢炎と診断され、消化器内科転科。	気腫性胆嚢炎と診断され、消化器内科に転院した。	neutral
ドレーン留置し、手術終了とした。	ドレーンを留置した。	entailment
ドレーン留置し、手術終了とした。	ドレーンに留置した。	contradiction
ドレーン留置し、手術終了とした。	ドレーン留置し、手術を終了した。	entailment
ドレーン留置し、手術終了とした。	ドレーン留置し、手術を開始した。	contradiction
気腫性胆嚢炎は急性胆嚢炎である。	急性胆嚢炎は気腫性胆嚢炎である。	contradiction
腹痛を主訴とし、当院消化器内科受診。	腹痛を主訴とし、当院の消化器内科を受診した。	entailment
腹痛を主訴とし、当院消化器内科受診。	腹痛を主訴とし、消化器内科を受診した。	entailment
腹痛を主訴とし、当院消化器内科受診。	腹痛を主訴とし、他院の消化器内科を受診した。	neutral
腹痛を主訴とし、当院消化器内科受診。	腹痛を主訴とし、当院の消化器内科に入院した。	neutral
気腫性胆嚢炎は急性胆嚢炎である。	気腫性胆嚢炎は胆嚢炎である。	entailment
気腫性胆嚢炎は急性胆嚢炎である。	胆嚢炎は急性胆嚢炎である。	neutral
胆石性胆嚢炎を発症したため、当科紹介となった。	胆嚢炎を発症したため、当科紹介となった。	entailment
胆石性胆嚢炎を発症したため、当科紹介となった。	気腫性胆嚢炎を発症したため、当科紹介となった。	neutral
胆石性胆嚢炎を発症したため、当科紹介となった。	胆石性の胆嚢炎を発症したため、当科紹介となった。	entailment
胆石性胆嚢炎を発症したため、当科紹介となった。	壊疽性の胆嚢炎を発症したため、当科紹介となった。	neutral
胆石性胆嚢炎を発症したため、当科紹介となった。	胆石性胆嚢炎を発症したため、当科に紹介となった。	entailment
胆石性胆嚢炎を発症したため、当科紹介となった。	胆石性胆嚢炎を発症したため、当科に紹介された。	entailment
胆石性胆嚢炎を発症したため、当科紹介となった。	胆石性胆嚢炎を発症したため、当科に入院した。	neutral
胆石性胆嚢炎を発症したため、当科紹介となった。	胆石性胆嚢炎を発症したため、当科から紹介した。	neutral
瘤径が増大傾向であり、当科紹介となり、加療を目的に当科入院となった。	瘤径が増大する傾向であり、当科紹介となり、加療を目的に当科入院となった。	entailment
瘤径が増大傾向であり、当科紹介となり、加療を目的に当科入院となった。	瘤径が縮小する傾向である。	contradiction
瘤径が増大傾向であり、当科紹介となり、加療を目的に当科入院となった。	瘤径が増大傾向であり、当科に紹介となった。	entailment
瘤径が増大傾向であり、当科紹介となり、加療を目的に当科入院となった。	瘤径が増大傾向であり、当科に入院となった。	entailment
直腸癌左副腎転移との診断であった。	直腸癌が左副腎に転移したとの診断であった。	entailment
直腸癌左副腎転移との診断であった。	直腸癌が副腎に転移したとの診断であった。	entailment
直腸癌左副腎転移との診断であった。	直腸癌が右副腎に転移したとの診断であった。	neutral
直腸癌左副腎転移との診断であった。	癌が右副腎に転移したとの診断であった。	entailment
精査を目的に当院紹介となった。	精査を目的に当院に紹介となった。	entailment
精査を目的に当院紹介となった。	精査を目的に当院から紹介となった。	contradiction
隆起性腫瘍を認め、生検で胃平滑筋肉腫と診断された。	隆起性の腫瘍を認め、生検で胃平滑筋肉腫と診断された。	entailment
隆起性腫瘍を認め、生検で胃平滑筋肉腫と診断された。	腫瘍を認め、生検で胃平滑筋肉腫と診断された。	entailment
隆起性腫瘍を認め、生検で胃平滑筋肉腫と診断された。	上皮性腫瘍を認め、生検で胃平滑筋肉腫と診断された。	neutral
隆起性腫瘍を認め、生検で胃平滑筋肉腫と診断された。	隆起性腫瘍を認め、生検で平滑筋肉腫と診断された。	entailment
隆起性腫瘍を認め、生検で胃平滑筋肉腫と診断された。	隆起性腫瘍を認め、生検で直腸平滑筋肉腫と診断された。	neutral
隆起性腫瘍を認め、生検で胃平滑筋肉腫と診断された。	隆起性腫瘍を認め、生検で子宮平滑筋肉腫と診断された。	neutral
限局性腹膜炎と診断された。	限局性の腹膜炎と診断された。	entailment
限局性腹膜炎と診断された。	腹膜炎と診断された。	entailment
限局性腹膜炎と診断された。	汎発性の腹膜炎と診断された。	neutral
皮膚結節は消褪傾向となった。	結節は消褪傾向となった。	entailment
皮膚結節は消褪傾向となった。	粉瘤は消褪傾向となった。	neutral
皮膚結節は消褪傾向となった。	皮膚結節は消褪する傾向となった。	entailment
皮膚結節は消褪傾向となった。	皮膚結節は消褪した。	neutral
2型腫瘍を認め、S状結腸切除した。	腫瘍を認め、S状結腸切除した。	entailment
2型腫瘍を認め、S状結腸切除した。	2型の腫瘍を認め、S状結腸切除した。	entailment
2型腫瘍を認め、S状結腸切除した。	1型腫瘍を認め、S状結腸切除した。	neutral
2型腫瘍を認め、S状結腸切除した。	3型腫瘍を認め、S状結腸切除した。	neutral
2型腫瘍を認め、S状結腸切除した。	2型腫瘍を認め、S状結腸を切除した。	entailment
2型腫瘍を認め、S状結腸切除した。	2型腫瘍を認め、結腸を切除した。	neutral
2型腫瘍を認め、S状結腸切除した。	2型腫瘍を認め、下行結腸を切除した。	neutral
虫垂による癒着性イレウスが疑われた。	虫垂によるイレウスが疑われた。	entailment
虫垂による癒着性イレウスが疑われた。	虫垂による絞扼性イレウスが疑われた。	neutral
虫垂による癒着性イレウスが疑われた。	虫垂による癒着性のイレウスが疑われた。	entailment
虫垂による癒着性イレウスが疑われた。	虫垂による腸閉塞が疑われた。	entailment
特発性後腹膜血腫と診断した。	特発性の後腹膜血腫と診断した。	entailment
特発性後腹膜血腫と診断した。	後腹膜血腫と診断した。	entailment
特発性後腹膜血腫と診断した。	血腫と診断した。	entailment
特発性後腹膜血腫と診断した。	特発性の血腫と診断した。	entailment
胃癌肝転移となった。	胃癌が肝転移となった。	entailment
胃癌肝転移となった。	胃癌が肝に転移した。	entailment
胃癌肝転移となった。	癌が胃に転移した。	neutral
CT検査にて後腹膜腫瘍判明。	検査にて後腹膜腫瘍判明。	entailment
CT検査にて後腹膜腫瘍判明。	MRI検査にて後腹膜腫瘍判明。	neutral
CT検査にて後腹膜腫瘍判明。	CT検査にて後腹膜腫瘍が判明。	entailment
CT検査にて後腹膜腫瘍判明。	CT検査にて腫瘍が判明。	entailment
CT検査にて後腹膜腫瘍判明。	CT検査にて腹膜腫瘍が判明。	neutral
腫瘍生検にて非上皮性悪性腫瘍と診断された。	生検にて非上皮性悪性腫瘍と診断された。	entailment
腫瘍生検にて非上皮性悪性腫瘍と診断された。	腫瘍生検にて上皮性悪性腫瘍と診断された。	contradiction
腫瘍生検にて非上皮性悪性腫瘍と診断された。	腫瘍生検にて悪性腫瘍と診断された。	entailment
腫瘍生検にて非上皮性悪性腫瘍と診断された。	腫瘍生検にて非上皮性腫瘍と診断された。	entailment
腫瘍生検にて非上皮性悪性腫瘍と診断された。	腫瘍生検にて上皮性腫瘍と診断された。	contradiction
腫瘍生検にて非上皮性悪性腫瘍と診断された。	腫瘍生検にて非上皮性の腫瘍と診断された。	entailment
腫瘍生検にて非上皮性悪性腫瘍と診断された。	腫瘍生検にて上皮性の腫瘍と診断された。	neutral
食道癌が転移再発した。	癌が転移再発した。	entailment
食道癌が転移再発した。	胃癌が転移再発した。	neutral
食道癌が転移再発した。	食道癌が再発した。	entailment
食道癌が転移再発した。	食道癌が転移した。	entailment
食道癌が転移再発した。	食道癌が転移して再発した。	entailment
仮性動脈瘤が認められた。	動脈瘤が認められた。	entailment
仮性動脈瘤が認められた。	偽性動脈瘤が認められた。	entailment
仮性動脈瘤が認められた。	真性動脈瘤が認められた。	neutral
退院した後、癌は無再発である。	退院した後、癌は再発した。	contradiction
退院した後、癌は無再発である。	退院した後、癌は再発しなかった。	entailment
膀胱癌が再発進行しなかった。	肺癌が再発進行しなかった。	neutral
膀胱癌が再発進行しなかった。	膀胱癌が再発しなかった。	entailment
膀胱癌が再発進行しなかった。	膀胱癌が進行しなかった。	entailment
慢性血栓塞栓性肺高血圧症は、特定疾患である。	慢性血栓塞栓性肺高血圧症は、特定疾患である。	entailment
慢性血栓塞栓性肺高血圧症は、特定疾患である。	CTEPHは、特定疾患である。	entailment
慢性血栓塞栓性肺高血圧症は、特定疾患である。	肺高血圧症は、特定疾患である。	neutral
